"year","age","sex","q26","q27"
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,1,1
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,1,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,1,2
1991,3,2,1,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,NA
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,2
1991,3,2,NA,NA
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,1,NA
1991,3,2,2,2
1991,3,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,1,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,NA
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,1,1
1991,4,2,NA,NA
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,NA,NA
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,NA,NA
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,NA
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,NA,NA
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,1,NA
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,1,1
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,1,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,NA
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,1,NA
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,NA,NA
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,NA
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,1,NA
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,1,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,NA
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,1,2
1991,4,2,1,1
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,1
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,NA,NA
1991,4,2,NA,NA
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,1,2
1991,4,2,2,2
1991,4,2,2,2
1991,4,2,2,2
